vector_size,window,min_count,epochs,hs,negative,sample,self_similarity,second_similarity
50,2,2,30,0,5,0,0.428,0.527
50,2,2,30,0,10,0,0.524,0.608
50,2,2,30,1,0,0,0.62,0.743
50,2,2,50,0,5,0,0.501,0.605
50,2,2,50,0,10,0,0.561,0.659
50,2,2,50,1,0,0,0.602,0.719
50,2,2,30,1,0,0,0.688,0.804
50,2,2,50,1,0,0,0.664,0.775
50,2,5,30,1,0,0,0.691,0.803
50,2,5,50,1,0,0,0.666,0.781
50,2,10,30,1,0,0,0.692,0.804
50,2,10,50,1,0,0,0.676,0.784
50,4,2,30,1,0,0,0.673,0.781
50,4,2,50,1,0,0,0.676,0.78
50,4,5,30,1,0,0,0.671,0.785
50,4,5,50,1,0,0,0.666,0.781
50,4,10,30,1,0,0,0.674,0.788
50,4,10,50,1,0,0,0.66,0.782
50,6,2,30,1,0,0,0.656,0.776
50,6,2,50,1,0,0,0.655,0.754
50,6,5,30,1,0,0,0.662,0.764
50,6,5,50,1,0,0,0.657,0.752
50,6,10,30,1,0,0,0.658,0.768
50,6,10,50,1,0,0,0.658,0.762
100,2,2,30,1,0,0,0.704,0.804
100,2,2,50,1,0,0,0.701,0.807
100,2,5,30,1,0,0,0.702,0.803
100,2,5,50,1,0,0,0.687,0.792
100,2,10,30,1,0,0,0.716,0.814
100,2,10,50,1,0,0,0.695,0.792
100,4,2,30,1,0,0,0.696,0.802
100,4,2,50,1,0,0,0.687,0.796
100,4,5,30,1,0,0,0.686,0.792
100,4,5,50,1,0,0,0.664,0.775
100,4,10,30,1,0,0,0.681,0.791
100,4,10,50,1,0,0,0.673,0.776
100,6,2,30,1,0,0,0.698,0.802
100,6,2,50,1,0,0,0.669,0.781
100,6,5,30,1,0,0,0.692,0.78
100,6,5,50,1,0,0,0.678,0.772
100,6,10,30,1,0,0,0.692,0.788
100,6,10,50,1,0,0,0.663,0.76
50,3,2,30,1,0,0.01,0.696,0.796
50,3,2,30,1,0,0.001,0.698,0.801
50,3,2,50,1,0,0.01,0.676,0.791
50,3,2,50,1,0,0.001,0.685,0.785
50,3,2,100,1,0,0.01,0.644,0.768
50,3,2,100,1,0,0.001,0.666,0.773
50,3,5,30,1,0,0.01,0.68,0.788
50,3,5,30,1,0,0.001,0.708,0.805
50,3,5,50,1,0,0.01,0.674,0.774
50,3,5,50,1,0,0.001,0.682,0.792
50,3,5,100,1,0,0.01,0.649,0.769
50,3,5,100,1,0,0.001,0.678,0.779
50,3,10,30,1,0,0.01,0.689,0.801
50,3,10,30,1,0,0.001,0.708,0.8
50,3,10,50,1,0,0.01,0.683,0.784
50,3,10,50,1,0,0.001,0.683,0.791
50,3,10,100,1,0,0.01,0.661,0.768
50,3,10,100,1,0,0.001,0.674,0.776
50,3,15,30,1,0,0.01,0.696,0.801
50,3,15,30,1,0,0.001,0.698,0.794
50,3,15,50,1,0,0.01,0.689,0.784
50,3,15,50,1,0,0.001,0.693,0.791
50,3,15,100,1,0,0.01,0.644,0.753
50,3,15,100,1,0,0.001,0.684,0.78
50,5,2,30,1,0,0.01,0.676,0.778
50,5,2,30,1,0,0.001,0.673,0.781
50,5,2,50,1,0,0.01,0.665,0.768
50,5,2,50,1,0,0.001,0.679,0.792
50,5,2,100,1,0,0.01,0.665,0.768
50,5,2,100,1,0,0.001,0.664,0.769
50,5,5,30,1,0,0.01,0.671,0.776
50,5,5,30,1,0,0.001,0.683,0.795
50,5,5,50,1,0,0.01,0.665,0.766
50,5,5,50,1,0,0.001,0.676,0.775
50,5,5,100,1,0,0.01,0.648,0.745
50,5,5,100,1,0,0.001,0.643,0.751
50,5,10,30,1,0,0.01,0.676,0.777
50,5,10,30,1,0,0.001,0.678,0.788
50,5,10,50,1,0,0.01,0.666,0.769
50,5,10,50,1,0,0.001,0.663,0.771
50,5,10,100,1,0,0.01,0.653,0.752
50,5,10,100,1,0,0.001,0.649,0.758
50,5,15,30,1,0,0.01,0.679,0.786
50,5,15,30,1,0,0.001,0.686,0.79
50,5,15,50,1,0,0.01,0.664,0.77
50,5,15,50,1,0,0.001,0.668,0.782
50,5,15,100,1,0,0.01,0.649,0.747
50,5,15,100,1,0,0.001,0.66,0.762
50,7,2,30,1,0,0.01,0.645,0.747
50,7,2,30,1,0,0.001,0.649,0.761
50,7,2,50,1,0,0.01,0.646,0.741
50,7,2,50,1,0,0.001,0.65,0.752
50,7,2,100,1,0,0.01,0.622,0.722
50,7,2,100,1,0,0.001,0.644,0.742
50,7,5,30,1,0,0.01,0.645,0.757
50,7,5,30,1,0,0.001,0.658,0.767
50,7,5,50,1,0,0.01,0.63,0.738
50,7,5,50,1,0,0.001,0.653,0.755
50,7,5,100,1,0,0.01,0.615,0.721
50,7,5,100,1,0,0.001,0.637,0.737
50,7,10,30,1,0,0.01,0.651,0.756
50,7,10,30,1,0,0.001,0.657,0.772
50,7,10,50,1,0,0.01,0.641,0.741
50,7,10,50,1,0,0.001,0.647,0.761
50,7,10,100,1,0,0.01,0.619,0.721
50,7,10,100,1,0,0.001,0.638,0.741
50,7,15,30,1,0,0.01,0.657,0.761
50,7,15,30,1,0,0.001,0.682,0.779
50,7,15,50,1,0,0.01,0.643,0.746
50,7,15,50,1,0,0.001,0.661,0.76
50,7,15,100,1,0,0.01,0.618,0.715
50,7,15,100,1,0,0.001,0.635,0.748
100,3,2,30,1,0,0.01,0.704,0.809
100,3,2,30,1,0,0.001,0.713,0.81
100,3,2,50,1,0,0.01,0.698,0.803
100,3,2,50,1,0,0.001,0.703,0.804
100,3,2,100,1,0,0.01,0.691,0.789
100,3,2,100,1,0,0.001,0.686,0.789
100,3,5,30,1,0,0.01,0.683,0.799
100,3,5,30,1,0,0.001,0.7,0.81
100,3,5,50,1,0,0.01,0.689,0.794
100,3,5,50,1,0,0.001,0.688,0.797
100,3,5,100,1,0,0.01,0.657,0.761
100,3,5,100,1,0,0.001,0.663,0.77
100,3,10,30,1,0,0.01,0.698,0.802
100,3,10,30,1,0,0.001,0.689,0.808
100,3,10,50,1,0,0.01,0.69,0.79
100,3,10,50,1,0,0.001,0.69,0.795
100,3,10,100,1,0,0.01,0.667,0.774
100,3,10,100,1,0,0.001,0.679,0.777
100,3,15,30,1,0,0.01,0.687,0.789
100,3,15,30,1,0,0.001,0.694,0.791
100,3,15,50,1,0,0.01,0.686,0.774
100,3,15,50,1,0,0.001,0.694,0.791
100,3,15,100,1,0,0.01,0.671,0.777
100,3,15,100,1,0,0.001,0.669,0.772
100,5,2,30,1,0,0.01,0.703,0.804
100,5,2,30,1,0,0.001,0.702,0.805
100,5,2,50,1,0,0.01,0.675,0.777
100,5,2,50,1,0,0.001,0.678,0.788
100,5,2,100,1,0,0.01,0.648,0.745
100,5,2,100,1,0,0.001,0.676,0.77
100,5,5,30,1,0,0.01,0.68,0.794
100,5,5,30,1,0,0.001,0.681,0.786
100,5,5,50,1,0,0.01,0.671,0.776
100,5,5,50,1,0,0.001,0.664,0.774
100,5,5,100,1,0,0.01,0.647,0.758
100,5,5,100,1,0,0.001,0.652,0.752
100,5,10,30,1,0,0.01,0.683,0.781
100,5,10,30,1,0,0.001,0.685,0.791
100,5,10,50,1,0,0.01,0.677,0.766
100,5,10,50,1,0,0.001,0.678,0.782
100,5,10,100,1,0,0.01,0.648,0.749
100,5,10,100,1,0,0.001,0.661,0.764
100,5,15,30,1,0,0.01,0.69,0.789
100,5,15,30,1,0,0.001,0.695,0.786
100,5,15,50,1,0,0.01,0.662,0.764
100,5,15,50,1,0,0.001,0.681,0.791
100,5,15,100,1,0,0.01,0.647,0.741
100,5,15,100,1,0,0.001,0.658,0.756
100,7,2,30,1,0,0.01,0.664,0.773
100,7,2,30,1,0,0.001,0.671,0.768
100,7,2,50,1,0,0.01,0.649,0.761
100,7,2,50,1,0,0.001,0.657,0.773
100,7,2,100,1,0,0.01,0.645,0.747
100,7,2,100,1,0,0.001,0.649,0.748
100,7,5,30,1,0,0.01,0.677,0.784
100,7,5,30,1,0,0.001,0.674,0.783
100,7,5,50,1,0,0.01,0.655,0.747
100,7,5,50,1,0,0.001,0.652,0.761
100,7,5,100,1,0,0.01,0.636,0.733
100,7,5,100,1,0,0.001,0.633,0.739
100,7,10,30,1,0,0.01,0.665,0.764
100,7,10,30,1,0,0.001,0.678,0.789
100,7,10,50,1,0,0.01,0.651,0.758
100,7,10,50,1,0,0.001,0.67,0.765
100,7,10,100,1,0,0.01,0.636,0.738
100,7,10,100,1,0,0.001,0.646,0.75
100,7,15,30,1,0,0.01,0.682,0.771
100,7,15,30,1,0,0.001,0.674,0.778
100,7,15,50,1,0,0.01,0.65,0.759
100,7,15,50,1,0,0.001,0.661,0.756
100,7,15,100,1,0,0.01,0.626,0.723
100,7,15,100,1,0,0.001,0.645,0.742
150,3,2,30,1,0,0.01,0.704,0.808
150,3,2,30,1,0,0.001,0.709,0.815
150,3,2,50,1,0,0.01,0.693,0.792
150,3,2,50,1,0,0.001,0.709,0.809
150,3,2,100,1,0,0.01,0.683,0.788
150,3,2,100,1,0,0.001,0.689,0.79
150,3,5,30,1,0,0.01,0.689,0.798
150,3,5,30,1,0,0.001,0.708,0.807
150,3,5,50,1,0,0.01,0.685,0.785
150,3,5,50,1,0,0.001,0.692,0.794
150,3,5,100,1,0,0.01,0.657,0.763
150,3,5,100,1,0,0.001,0.671,0.766
150,3,10,30,1,0,0.01,0.701,0.801
150,3,10,30,1,0,0.001,0.692,0.795
150,3,10,50,1,0,0.01,0.689,0.792
150,3,10,50,1,0,0.001,0.7,0.8
150,3,10,100,1,0,0.01,0.666,0.767
150,3,10,100,1,0,0.001,0.667,0.764
150,3,15,30,1,0,0.01,0.707,0.8
150,3,15,30,1,0,0.001,0.684,0.789
150,3,15,50,1,0,0.01,0.694,0.787
150,3,15,50,1,0,0.001,0.685,0.776
150,3,15,100,1,0,0.01,0.676,0.771
150,3,15,100,1,0,0.001,0.677,0.773
150,5,2,30,1,0,0.01,0.694,0.791
150,5,2,30,1,0,0.001,0.69,0.801
150,5,2,50,1,0,0.01,0.679,0.77
150,5,2,50,1,0,0.001,0.674,0.782
150,5,2,100,1,0,0.01,0.643,0.739
150,5,2,100,1,0,0.001,0.651,0.747
150,5,5,30,1,0,0.01,0.683,0.791
150,5,5,30,1,0,0.001,0.695,0.793
150,5,5,50,1,0,0.01,0.668,0.774
150,5,5,50,1,0,0.001,0.674,0.773
150,5,5,100,1,0,0.01,0.653,0.75
150,5,5,100,1,0,0.001,0.645,0.746
150,5,10,30,1,0,0.01,0.677,0.777
150,5,10,30,1,0,0.001,0.689,0.787
150,5,10,50,1,0,0.01,0.666,0.772
150,5,10,50,1,0,0.001,0.673,0.766
150,5,10,100,1,0,0.01,0.635,0.735
150,5,10,100,1,0,0.001,0.656,0.75
150,5,15,30,1,0,0.01,0.698,0.79
150,5,15,30,1,0,0.001,0.677,0.776
150,5,15,50,1,0,0.01,0.666,0.762
150,5,15,50,1,0,0.001,0.665,0.775
150,5,15,100,1,0,0.01,0.648,0.743
150,5,15,100,1,0,0.001,0.65,0.753
150,7,2,30,1,0,0.01,0.677,0.772
150,7,2,30,1,0,0.001,0.649,0.765
150,7,2,50,1,0,0.01,0.652,0.744
150,7,2,50,1,0,0.001,0.652,0.751
150,7,2,100,1,0,0.01,0.627,0.723
150,7,2,100,1,0,0.001,0.63,0.733
150,7,5,30,1,0,0.01,0.67,0.771
150,7,5,30,1,0,0.001,0.68,0.78
150,7,5,50,1,0,0.01,0.658,0.749
150,7,5,50,1,0,0.001,0.654,0.761
150,7,5,100,1,0,0.01,0.618,0.725
150,7,5,100,1,0,0.001,0.63,0.732
150,7,10,30,1,0,0.01,0.675,0.773
150,7,10,30,1,0,0.001,0.677,0.781
150,7,10,50,1,0,0.01,0.657,0.75
150,7,10,50,1,0,0.001,0.65,0.751
150,7,10,100,1,0,0.01,0.606,0.722
150,7,10,100,1,0,0.001,0.635,0.731
150,7,15,30,1,0,0.01,0.664,0.759
150,7,15,30,1,0,0.001,0.684,0.784
150,7,15,50,1,0,0.01,0.655,0.751
150,7,15,50,1,0,0.001,0.663,0.763
150,7,15,100,1,0,0.01,0.622,0.719
150,7,15,100,1,0,0.001,0.653,0.743
30,1,2,20,1,0,0,0.673,0.78
30,1,2,20,1,0,0.01,0.664,0.769
30,1,2,20,1,0,0.001,0.691,0.786
30,1,2,20,0,10,0,0.527,0.617
30,1,2,20,0,10,0.01,0.518,0.616
30,1,2,20,0,10,0.001,0.562,0.674
30,1,2,30,1,0,0,0.654,0.768
30,1,2,30,1,0,0.01,0.638,0.755
30,1,2,30,1,0,0.001,0.674,0.775
30,1,2,30,0,10,0,0.566,0.668
30,1,2,30,0,10,0.01,0.551,0.661
30,1,2,30,0,10,0.001,0.594,0.687
30,1,2,40,1,0,0,0.622,0.738
30,1,2,40,1,0,0.01,0.626,0.739
30,1,2,40,1,0,0.001,0.66,0.772
30,1,2,40,0,10,0,0.559,0.665
30,1,2,40,0,10,0.01,0.57,0.678
30,1,2,40,0,10,0.001,0.591,0.71
30,1,5,20,1,0,0,0.66,0.769
30,1,5,20,1,0,0.01,0.665,0.778
30,1,5,20,1,0,0.001,0.693,0.797
30,1,5,20,0,10,0,0.539,0.626
30,1,5,20,0,10,0.01,0.546,0.636
30,1,5,20,0,10,0.001,0.563,0.678
30,1,5,30,1,0,0,0.656,0.762
30,1,5,30,1,0,0.01,0.645,0.761
30,1,5,30,1,0,0.001,0.674,0.786
30,1,5,30,0,10,0,0.573,0.658
30,1,5,30,0,10,0.01,0.557,0.656
30,1,5,30,0,10,0.001,0.594,0.705
30,1,5,40,1,0,0,0.63,0.739
30,1,5,40,1,0,0.01,0.636,0.746
30,1,5,40,1,0,0.001,0.668,0.777
30,1,5,40,0,10,0,0.574,0.669
30,1,5,40,0,10,0.01,0.575,0.677
30,1,5,40,0,10,0.001,0.611,0.722
30,1,10,20,1,0,0,0.678,0.777
30,1,10,20,1,0,0.01,0.669,0.77
30,1,10,20,1,0,0.001,0.682,0.786
30,1,10,20,0,10,0,0.544,0.626
30,1,10,20,0,10,0.01,0.536,0.637
30,1,10,20,0,10,0.001,0.594,0.691
30,1,10,30,1,0,0,0.653,0.755
30,1,10,30,1,0,0.01,0.663,0.758
30,1,10,30,1,0,0.001,0.671,0.776
30,1,10,30,0,10,0,0.561,0.663
30,1,10,30,0,10,0.01,0.575,0.683
30,1,10,30,0,10,0.001,0.612,0.716
30,1,10,40,1,0,0,0.644,0.747
30,1,10,40,1,0,0.01,0.641,0.744
30,1,10,40,1,0,0.001,0.656,0.769
30,2,2,20,1,0,0,0.658,0.759
30,2,2,20,1,0,0,0.665,0.776
30,2,2,20,1,0,0.01,0.65,0.757
30,2,2,30,1,0,0,0.667,0.764
30,2,2,30,1,0,0.01,0.668,0.767
30,2,2,40,1,0,0,0.653,0.756
30,2,2,40,1,0,0.01,0.658,0.754
30,2,5,20,1,0,0,0.653,0.765
30,2,5,20,1,0,0.01,0.665,0.767
30,2,5,30,1,0,0,0.642,0.754
30,2,5,30,1,0,0.01,0.662,0.766
30,2,5,40,1,0,0,0.661,0.761
30,2,5,40,1,0,0.01,0.653,0.756
30,2,10,20,1,0,0,0.644,0.757
30,2,10,20,1,0,0.01,0.652,0.757
30,2,10,30,1,0,0,0.645,0.762
30,2,10,30,1,0,0.01,0.657,0.767
30,2,10,40,1,0,0,0.633,0.75
30,2,10,40,1,0,0.01,0.642,0.766
30,3,2,20,1,0,0,0.623,0.729
30,3,2,20,1,0,0.01,0.612,0.722
30,3,2,30,1,0,0,0.63,0.746
30,3,2,30,1,0,0.01,0.637,0.747
30,3,2,40,1,0,0,0.643,0.755
30,3,2,40,1,0,0.01,0.64,0.755
30,3,5,20,1,0,0,0.633,0.731
30,3,5,20,1,0,0.01,0.615,0.724
30,3,5,30,1,0,0,0.651,0.746
