layers,epochs,train_accuracy,validation_accuracy
55_40_25_9_100000,120,0.615,0.587
55_30_9_100000,20,0.572,0.563
100_40_25_9_100000,40,0.629,0.578
100_70_30_9_100000,150,0.685,0.59
x,x,x,x test 50 epochs
100_60_30_9_100000,50,0.658,0.583
150_90_40_9_100000,50,0.698,0.595
100_60_35_20_9_100000,50,0.643,0.578
100_55_9_100000,50,0.65,0.58
200_120_55_9_100000,50,0.728,0.608
300_180_70_9_100000,50,0.76,0.628
300_200_100_50_9_100000,50,0.698,0.605
x,x,x,x test 10 epochs with higher vector size in hidden layer
55_100_50_9_100000,10,0.601,0.57
150_300_180_70_9_100000,10,0.647,0.588
150_300_50_9_100000,10,0.687,0.612
55_300_50_9_100000,10,0.635,0.596
300_150_70_9_100000,10,0.666,0.594
100_300_50_9_100000,10,0.669,0.607
100_500_50_9_100000,10,0.68,0.606
55_500_50_9_100000,10,0.645,0.601
200_500_50_9_100000,10,0.701,0.614
x,x,x,x delete softmax in sequence
200_499_50_9_100000,10,0.825,0.648
150_499_50_9_100000,10,0.793,0.644
55_499_50_9_100000,10,0.684,0.619
100_499_50_9_100000,10,0.753,0.635
100_299_50_9_100000,10,0.716,0.619
55_999_50_9_100000,10,0.714,0.632
150_999_50_9_100000,10,0.85,0.654
100_999_50_9_100000,10,0.796,0.648
